customer_id,date,time_idx,daily_spend,logins,clicks,day_of_week,is_holiday,customer_tier
C_001,2025-01-01,0,7.93,1,9,2,0,Silver
C_001,2025-01-02,1,42.23,2,18,3,0,Silver
C_001,2025-01-03,2,0.0,0,3,4,0,Silver
C_001,2025-01-04,3,0.0,0,4,5,0,Silver
C_001,2025-01-05,4,0.0,0,1,6,0,Silver
C_001,2025-01-06,5,11.6,1,9,0,0,Silver
C_001,2025-01-07,6,16.93,1,12,1,0,Silver
C_001,2025-01-08,7,15.23,2,10,2,1,Silver
C_001,2025-01-09,8,24.6,1,11,3,0,Silver
C_001,2025-01-10,9,12.97,1,8,4,0,Silver
C_001,2025-01-11,10,19.61,1,6,5,1,Silver
C_001,2025-01-12,11,0.0,0,3,6,0,Silver
C_001,2025-01-13,12,0.0,0,4,0,0,Silver
C_001,2025-01-14,13,12.61,1,8,1,0,Silver
C_001,2025-01-15,14,15.92,1,8,2,0,Silver
C_001,2025-01-16,15,0.0,0,2,3,0,Silver
C_001,2025-01-17,16,13.75,2,17,4,0,Silver
C_001,2025-01-18,17,32.33,1,13,5,0,Silver
C_001,2025-01-19,18,20.48,1,8,6,0,Silver
C_001,2025-01-20,19,1.94,1,3,0,0,Silver
C_001,2025-01-21,20,0.0,0,0,1,0,Silver
C_001,2025-01-22,21,13.52,2,14,2,0,Silver
C_001,2025-01-23,22,10.34,1,6,3,0,Silver
C_001,2025-01-24,23,0.0,0,3,4,0,Silver
C_001,2025-01-25,24,0.0,0,2,5,0,Silver
C_001,2025-01-26,25,0.0,0,0,6,0,Silver
C_001,2025-01-27,26,6.89,1,6,0,0,Silver
C_001,2025-01-28,27,4.34,1,4,1,0,Silver
C_001,2025-01-29,28,0.0,0,0,2,0,Silver
C_001,2025-01-30,29,0.0,0,3,3,0,Silver
C_001,2025-01-31,30,19.44,2,18,4,0,Silver
C_001,2025-02-01,31,0.0,0,4,5,0,Silver
C_001,2025-02-02,32,16.45,1,9,6,0,Silver
C_001,2025-02-03,33,11.39,1,11,0,0,Silver
C_001,2025-02-04,34,13.94,2,16,1,0,Silver
C_001,2025-02-05,35,22.56,2,12,2,0,Silver
C_001,2025-02-06,36,0.0,0,3,3,0,Silver
C_001,2025-02-07,37,0.0,0,1,4,0,Silver
C_001,2025-02-08,38,23.52,2,17,5,0,Silver
C_001,2025-02-09,39,5.99,2,6,6,0,Silver
C_001,2025-02-10,40,19.07,2,10,0,0,Silver
C_001,2025-02-11,41,7.13,2,8,1,0,Silver
C_001,2025-02-12,42,12.56,1,7,2,0,Silver
C_001,2025-02-13,43,0.0,0,1,3,1,Silver
C_001,2025-02-14,44,5.14,1,5,4,0,Silver
C_001,2025-02-15,45,8.2,2,4,5,0,Silver
C_001,2025-02-16,46,21.11,1,11,6,0,Silver
C_001,2025-02-17,47,0.0,0,0,0,0,Silver
C_001,2025-02-18,48,13.04,1,8,1,0,Silver
C_001,2025-02-19,49,0.0,0,3,2,0,Silver
C_001,2025-02-20,50,0.0,0,2,3,0,Silver
C_001,2025-02-21,51,17.93,1,11,4,0,Silver
C_001,2025-02-22,52,0.0,0,4,5,0,Silver
C_001,2025-02-23,53,0.0,0,1,6,0,Silver
C_001,2025-02-24,54,32.43,2,19,0,0,Silver
C_001,2025-02-25,55,0.0,0,1,1,0,Silver
C_001,2025-02-26,56,24.94,2,22,2,0,Silver
C_001,2025-02-27,57,0.0,0,4,3,0,Silver
C_001,2025-02-28,58,0.0,0,4,4,0,Silver
C_001,2025-03-01,59,0.0,0,3,5,0,Silver
C_001,2025-03-02,60,0.0,0,1,6,0,Silver
C_001,2025-03-03,61,14.77,1,7,0,0,Silver
C_001,2025-03-04,62,0.0,0,2,1,0,Silver
C_001,2025-03-05,63,13.77,1,8,2,0,Silver
C_001,2025-03-06,64,0.0,0,2,3,0,Silver
C_001,2025-03-07,65,32.5,2,16,4,0,Silver
C_001,2025-03-08,66,0.0,0,1,5,0,Silver
C_001,2025-03-09,67,17.19,3,10,6,1,Silver
C_001,2025-03-10,68,14.35,1,13,0,0,Silver
C_001,2025-03-11,69,14.91,1,11,1,0,Silver
C_001,2025-03-12,70,0.0,0,0,2,0,Silver
C_001,2025-03-13,71,0.0,0,0,3,0,Silver
C_001,2025-03-14,72,19.74,1,10,4,0,Silver
C_001,2025-03-15,73,0.0,0,4,5,0,Silver
C_001,2025-03-16,74,9.94,1,6,6,0,Silver
C_001,2025-03-17,75,8.93,1,10,0,0,Silver
C_001,2025-03-18,76,22.46,1,11,1,0,Silver
C_001,2025-03-19,77,16.62,1,8,2,0,Silver
C_001,2025-03-20,78,15.78,2,16,3,0,Silver
C_001,2025-03-21,79,0.0,0,2,4,0,Silver
C_001,2025-03-22,80,6.31,1,4,5,0,Silver
C_001,2025-03-23,81,20.8,1,7,6,0,Silver
C_001,2025-03-24,82,0.0,0,0,0,1,Silver
C_001,2025-03-25,83,0.0,0,2,1,0,Silver
C_001,2025-03-26,84,0.0,0,0,2,0,Silver
C_001,2025-03-27,85,0.0,0,4,3,0,Silver
C_001,2025-03-28,86,21.87,2,14,4,0,Silver
C_001,2025-03-29,87,0.0,0,2,5,0,Silver
C_001,2025-03-30,88,0.0,0,0,6,0,Silver
C_001,2025-03-31,89,0.0,0,3,0,0,Silver
C_001,2025-04-01,90,8.34,1,7,1,0,Silver
C_001,2025-04-02,91,7.04,3,10,2,0,Silver
C_001,2025-04-03,92,0.0,0,4,3,0,Silver
C_001,2025-04-04,93,0.0,0,0,4,0,Silver
C_001,2025-04-05,94,15.61,1,12,5,0,Silver
C_001,2025-04-06,95,13.26,1,10,6,0,Silver
C_001,2025-04-07,96,26.65,2,16,0,0,Silver
C_001,2025-04-08,97,7.33,1,7,1,0,Silver
C_001,2025-04-09,98,0.0,0,4,2,0,Silver
C_001,2025-04-10,99,27.05,1,13,3,0,Silver
C_001,2025-04-11,100,5.57,1,5,4,0,Silver
C_001,2025-04-12,101,0.0,0,1,5,0,Silver
C_001,2025-04-13,102,46.55,1,10,6,1,Silver
C_001,2025-04-14,103,7.41,2,4,0,0,Silver
C_001,2025-04-15,104,20.23,1,9,1,0,Silver
C_001,2025-04-16,105,0.0,0,3,2,0,Silver
C_001,2025-04-17,106,0.0,0,3,3,0,Silver
C_001,2025-04-18,107,0.0,0,1,4,0,Silver
C_001,2025-04-19,108,0.0,0,2,5,0,Silver
C_001,2025-04-20,109,21.44,1,9,6,0,Silver
C_001,2025-04-21,110,29.63,4,13,0,0,Silver
C_001,2025-04-22,111,0.0,0,0,1,0,Silver
C_001,2025-04-23,112,14.08,2,6,2,0,Silver
C_001,2025-04-24,113,2.5,1,4,3,0,Silver
C_001,2025-04-25,114,12.8,1,8,4,0,Silver
C_001,2025-04-26,115,15.15,2,14,5,0,Silver
C_001,2025-04-27,116,4.85,1,3,6,0,Silver
C_001,2025-04-28,117,13.83,1,9,0,0,Silver
C_001,2025-04-29,118,11.94,1,9,1,0,Silver
C_001,2025-04-30,119,0.0,0,4,2,0,Silver
C_002,2025-01-01,0,0.0,0,3,2,0,Silver
C_002,2025-01-02,1,7.64,1,10,3,0,Silver
C_002,2025-01-03,2,12.5,1,11,4,0,Silver
C_002,2025-01-04,3,12.9,2,5,5,0,Silver
C_002,2025-01-05,4,0.0,0,4,6,0,Silver
C_002,2025-01-06,5,0.0,0,2,0,0,Silver
C_002,2025-01-07,6,0.0,0,2,1,0,Silver
C_002,2025-01-08,7,19.93,1,9,2,0,Silver
C_002,2025-01-09,8,3.37,1,5,3,0,Silver
C_002,2025-01-10,9,0.0,0,4,4,0,Silver
C_002,2025-01-11,10,8.65,1,8,5,0,Silver
C_002,2025-01-12,11,0.0,0,0,6,0,Silver
C_002,2025-01-13,12,4.84,1,8,0,0,Silver
C_002,2025-01-14,13,0.0,0,4,1,0,Silver
C_002,2025-01-15,14,21.4,2,11,2,0,Silver
C_002,2025-01-16,15,0.0,0,2,3,1,Silver
